Domestic Overnight Trips
"Nights (000), Calendar year and Month returned from trip by Stopover state/region/SA2"
Counting: Nights (000)
,,,AAA,AAB,ABA,ABB,ACA,ADA,ADB,ADC,ADD,AEA,AEB,AEC,AED,AFA,BAA,BAB,BAC,BBA,BCA,BCB,BCC,BDA,BDB,BDC,BDD,BDE,BDF,BEA,BEB,BEC,BED,BEE,BEF,BEG,BEH,CAA,CAB,CAC,CBA,CBB,CBC,CBD,CCA,CCB,CCC,CDA,CDB,DAA,DAB,DAC,DBA,DBB,DBC,DCA,DCB,DCC,DCD,DDA,DDB,EAA,EAB,EAC,EBA,ECA,FAA,FBA,FBB,FCA,FCB,GAA,GAB,GAC,GBA,GBB,GBC,GBD
,,September,1784.3266960000001,57.519570199999997,512.47924839999996,1173.9275640000001,614.31525780000004,218.06294689999999,74.186638599999995,373.57854259999999,268.99048140000002,477.83866740000002,363.11099100000001,67.334766700000003,125.98417499999999,471.34705810000003,1579.9153209999999,104.5588456,123.17819660000001,51.760392299999999,217.61642219999999,226.33885169999999,90.657690799999997,104.3362219,170.3601683,287.05028499999997,33.226383200000001,44.339418600000002,2.8233052999999999,186.51314450000001,17.207052000000001,288.42288559999997,85.071227500000006,31.765343900000001,71.215022500000003,67.616148699999997,18.945758099999999,1846.5084199999999,1227.1080440000001,1143.313445,322.83068359999999,318.94200269999999,242.33248800000001,396.60669849999999,237.09395860000001,260.88306749999998,1428.5760130000001,381.67074170000001,452.50395509999998,663.62342430000001,35.322298199999999,12.420503,61.221602400000002,27.570489800000001,11.0868111,55.604341499999997,75.99803,16.428493400000001,276.26566939999998,117.8376085,57.883328200000001,834.73407580000003,879.98115710000002,333.81232990000001,403.65834799999999,415.45251250000001,176.94447769999999,47.793158099999999,55.801284299999999,74.925280299999997,16.6199686,306.39122830000002,39.741799700000001,84.784309100000002,27.328783099999999,67.504500399999998,115.44568529999999,7.1953237000000003
,,October,2191.0715679999998,210.0948708,480.73659559999999,2254.7464340000001,938.64479789999996,181.90989880000001,262.97208490000003,287.01653670000002,173.5679433,611.72930280000003,257.8474382,382.3350251,250.96380690000001,528.61908110000002,1655.825566,275.2255581,74.629638900000003,79.745292500000005,185.00805779999999,160.41979549999999,135.6655255,183.43484749999999,78.495397800000006,157.32627189999999,50.513950299999998,36.479498599999999,37.308635199999998,210.51098540000001,9.410005,449.28647649999999,198.47055639999999,33.466801500000003,121.6511094,147.2510035,46.088328099999998,1168.1447069999999,1305.8909779999999,987.03242780000005,435.38176959999998,97.382833899999994,156.83508570000001,493.68135610000002,387.4615781,190.68384069999999,711.96859610000001,234.40043080000001,351.75379800000002,480.23956329999999,55.166581999999998,13.4842817,86.470959500000006,139.6978187,11.914581,133.2223334,155.7424512,38.278851600000003,423.52642409999999,103.9675605,119.03195119999999,1124.6889590000001,481.70750570000001,647.15885709999998,796.73649350000005,387.68532019999998,251.92854610000001,56.503348199999998,188.4178933,104.626913,34.341107399999999,417.20214399999998,36.695886899999998,71.099460699999995,32.791647099999999,101.4651762,436.22802840000003,40.298690399999998
,,November,2081.0230839999999,202.74675830000001,574.46409919999996,1052.7952660000001,895.01575939999998,138.28078590000001,167.17013900000001,320.95852029999998,231.01466619999999,852.01563780000004,293.31777690000001,179.58748610000001,196.4895587,424.38890579999997,1734.7705100000001,225.2194557,203.06500819999999,111.7237856,88.168063000000004,250.1010665,126.0712438,90.125744900000001,91.274302599999999,213.35748799999999,57.379709800000001,25.092218899999999,27.001284500000001,184.7361349,22.860420300000001,324.5220056,116.4449185,32.410740400000002,110.5741617,96.612487900000005,35.425214599999997,1362.425788,976.99601619999999,809.35639449999996,202.0915349,111.3381536,181.55294050000001,256.48836840000001,115.92792300000001,193.85388689999999,402.0932325,248.770929,164.85072510000001,577.91913299999999,87.357589200000007,58.702693600000003,82.336805200000001,111.668797,0,92.929278299999993,83.352959600000005,41.242705299999997,304.3265887,162.03949689999999,156.31493330000001,782.55728079999994,317.16099509999998,528.16543520000005,641.30061139999998,530.45784990000004,260.36881879999999,91.282235799999995,232.27779029999999,67.266527999999994,23.321528799999999,160.51169859999999,113.333837,52.905779299999999,64.400569099999998,29.417536800000001,34.487525599999998,11.110060000000001
,,December,2111.8419469999999,350.51438350000001,494.1274611,1412.4292089999999,963.8954162,147.17099479999999,117.6861322,258.3309615,131.69357189999999,380.4272823,220.6989385,50.459849900000002,82.100008799999998,487.43302060000002,1780.3275410000001,209.9920908,122.7772355,45.958613900000003,132.91591969999999,212.51488430000001,202.5502401,297.07291020000002,153.5601431,193.61018000000001,19.975691000000001,37.357913099999998,7.1705190999999999,162.07610270000001,45.972181300000003,487.8243976,114.57273549999999,34.460951199999997,32.150740300000002,74.845438099999996,37.995822199999999,995.64293439999994,954.71631200000002,751.25471370000002,321.49624979999999,178.79967880000001,313.55121830000002,80.203058799999994,56.542399199999998,94.112441700000005,468.90426660000003,373.49862869999998,58.342118200000002,494.44596639999997,15.421909899999999,3.1512492000000001,118.7190798,134.32270940000001,16.011261999999999,48.153869899999997,35.713526899999998,26.553067500000001,162.79287479999999,96.846177100000006,121.9211521,845.66360169999996,372.41609460000001,598.79442159999996,138.55531429999999,254.408277,239.6806393,100.9439003,146.2220399,190.34699689999999,47.935949299999997,61.508030499999997,37.075103599999998,8.9906694999999992,19.292268199999999,0,1.8746427999999999,41.3258054
,1999,January,3263.5239150000002,768.91976609999995,1333.092128,4333.6655280000004,3366.7708259999999,348.32493749999998,405.51397450000002,532.96093659999997,498.39050889999999,596.06962829999998,734.40280529999995,77.099807299999995,450.07824260000001,600.91757589999997,2647.417997,1819.0444239999999,791.8854437,79.7597296,470.2104468,708.36814040000002,605.20220440000003,329.59343660000002,168.3645573,531.82536949999997,39.915903900000004,126.6575134,20.456814600000001,259.14197610000002,54.998299099999997,1775.7051530000001,269.02298969999998,55.391580599999998,128.10150049999999,245.75755480000001,77.531435900000005,2330.8500789999998,2504.4547189999998,2203.7745530000002,332.21031119999998,305.3676638,677.54485680000005,333.02925599999998,169.2821343,602.065834,684.55826060000004,575.27415689999998,322.33389519999997,1094.600533,30.894946900000001,12.2575837,293.49370260000001,414.3719054,42.7724744,143.00861939999999,211.7485494,8.7707677999999998,232.34402360000001,212.55695109999999,283.65621440000001,1437.7703220000001,348.6372131,1290.770352,265.8212939,166.87209809999999,756.78075109999997,291.11746299999999,236.147031,242.95404350000001,133.8086069,213.69298950000001,33.604785200000002,40.366831500000004,6.0270945999999999,12.579710199999999,96.859996300000006,43.102020500000002
,,February,1440.3220329999999,369.05612189999999,545.12365980000004,1333.9939420000001,816.01008079999997,212.41674040000001,182.94660379999999,185.75590360000001,113.3702043,269.18418589999999,185.59808150000001,232.8496687,143.03678869999999,398.04328609999999,1554.4231749999999,406.13048579999997,215.72374569999999,45.191621300000001,84.295131900000001,137.70429060000001,301.37750340000002,194.8637966,42.678165399999997,139.06622200000001,25.876362799999999,11.0644419,42.323649400000001,115.44989150000001,36.252278799999999,255.43639930000001,114.85625330000001,54.1682348,89.718961699999994,65.599485299999998,36.2084993,1086.2894289999999,1407.3726529999999,475.34319979999998,306.60372960000001,123.3651174,112.8435849,66.678125600000001,184.8244909,158.30260920000001,189.13718159999999,253.1217996,64.377957499999994,621.82657459999996,33.703388099999998,7.2491957999999999,117.93809039999999,201.09878409999999,9.3013197999999999,21.644074499999999,45.324973800000002,19.907191000000001,32.946593200000002,158.4581148,59.3735091,941.83577720000005,178.10207449999999,442.78382779999998,91.291808500000002,72.9822767,372.30872620000002,131.98438580000001,197.68838579999999,154.01665360000001,14.2866076,33.8519924,4.0611084999999996,33.374788899999999,0,0.58079879999999995,43.908900699999997,0
,,March,1897.8343339999999,217.2666443,460.77350319999999,1487.252575,670.89977280000005,129.15788209999999,228.41079070000001,237.91493410000001,149.1220117,374.7609842,479.19947689999998,63.296741400000002,185.18348940000001,438.54256889999999,1347.80439,140.4207184,266.73352180000001,95.064024799999999,211.8352161,214.0459492,163.8900098,139.27492849999999,89.473223599999997,218.96935550000001,15.3616493,131.51286469999999,51.502972499999998,143.72588400000001,13.4715285,349.4968475,100.2109926,28.697647799999999,80.375258700000003,64.748629600000001,18.787283200000001,1070.6756339999999,768.35702200000003,824.82424040000001,139.82225539999999,50.158846799999999,199.3519895,56.722270999999999,138.5075745,112.9618935,243.5625612,191.9969437,75.310501599999995,481.2311244,5.4927675999999996,6.6164740000000002,89.811543900000004,87.023660599999999,2.0481706000000002,31.0672955,88.440958499999994,32.242905899999997,117.8202105,141.7834738,112.2525363,1139.958275,205.28021200000001,639.51223230000005,117.1475784,158.3285344,306.9053773,61.208336799999998,253.10196379999999,111.4110434,56.198921300000002,157.5181561,8.1811892999999998,15.5016511,32.566489400000002,27.5682382,91.488407100000003,24.399721400000001
,,April,2353.4904190000002,232.0011978,787.50411680000002,1568.3520799999999,1320.8691349999999,233.31006249999999,291.33391069999999,372.24139489999999,318.39494539999998,377.20115019999997,363.1429129,285.51116239999999,191.6660445,517.95205769999995,1377.076683,245.50144019999999,95.952451600000003,49.426373099999999,298.31507829999998,276.51136259999998,256.10583589999999,136.25528840000001,80.689367200000007,399.18651560000001,112.61571960000001,70.1879122,19.326730099999999,186.05961199999999,25.725170599999998,448.28684229999999,156.825716,40.979768200000002,126.3901137,204.7891588,21.612070200000002,1377.8334870000001,1516.7903739999999,679.98641069999996,470.1074026,143.67476970000001,152.96400990000001,130.3266447,257.92463359999999,820.45898750000003,565.50235220000002,344.08359430000002,235.5766309,781.89383420000001,46.538375799999997,10.947741499999999,92.058542700000004,208.28584979999999,51.171700600000001,81.679615600000005,121.5981038,31.008075900000001,199.3771453,160.13278299999999,183.24476300000001,1666.2241899999999,379.23716689999998,624.41345839999997,171.86336739999999,95.549315699999994,331.00752510000001,69.562582699999993,120.1203787,112.2966698,17.529051200000001,100.5265524,28.094719300000001,47.534703700000001,8.1128073000000001,14.2725107,60.738166700000001,11.775828199999999
,,May,1837.134716,241.78615579999999,590.9269812,982.43652199999997,800.89848370000004,57.614622400000002,63.828182599999998,195.66753059999999,175.82594019999999,342.82272849999998,211.7470903,340.85193989999999,148.08892520000001,436.4238039,1275.1621720000001,103.62003780000001,166.27547150000001,63.120535699999998,86.275606999999994,138.09144610000001,104.0566223,162.32910810000001,86.975348299999993,273.3887608,59.587628600000002,77.960564599999998,24.2207443,145.1466714,30.576710599999998,594.12457310000002,124.1971647,58.455110500000004,92.496201099999993,60.949993900000003,32.715834899999997,1147.876033,1281.617508,681.69836439999995,204.96500950000001,190.90119129999999,136.33354130000001,269.97978920000003,49.5224549,208.69183960000001,470.52236049999999,300.27860600000002,288.24361349999998,655.45902049999995,23.3444048,21.507878600000002,128.52493100000001,126.9075278,24.2136484,84.046129699999995,88.087030200000001,24.020312700000002,149.28735589999999,171.18854640000001,88.973753599999995,714.98627799999997,428.6079896,395.66840250000001,250.4128513,216.56064929999999,165.53554030000001,67.157676199999997,184.37579479999999,64.534901199999993,28.302670800000001,188.60386930000001,108.5059122,75.697741300000004,4.6674001000000001,91.439096399999997,67.310137699999999,9.0813869999999994
,,June,1483.4808700000001,394.34990449999998,454.92728740000001,1017.054402,638.07548429999997,265.11824960000001,161.34789939999999,213.59174719999999,80.214552499999996,381.95783,343.58689440000001,139.3588326,269.34842789999999,363.2650774,1356.585394,235.74020569999999,137.26469589999999,50.432638099999998,70.886734200000006,244.33424579999999,73.324497699999995,87.111777200000006,62.925471700000003,262.3540787,17.098358099999999,84.171691499999994,10.304671000000001,291.09691020000002,1.7512508,285.57674020000002,68.991213500000001,49.4456457,75.263036499999998,64.544547699999995,22.719356300000001,771.1526384,1255.936964,870.07331050000005,324.3613861,147.5288688,148.53445450000001,176.50993819999999,102.0315928,265.01343500000002,638.16281309999999,373.01689329999999,200.42015380000001,576.53699859999995,65.006207000000003,16.1837062,67.973856799999993,123.5781125,6.5192192000000002,89.384181999999996,73.031857700000003,20.957431799999998,70.489001599999995,74.493347799999995,129.44976930000001,779.2192139,392.78873420000002,399.3299566,366.21095580000002,283.90819649999997,306.89886109999998,60.208995999999999,92.194201000000007,165.83982330000001,19.5550639,236.514802,86.512420500000005,163.04173789999999,105.7897974,38.159765700000001,97.091100100000006,9.5760439000000002
,,July,1917.283146,245.14296210000001,467.82435670000001,1429.536963,1014.260687,271.77480420000001,178.16146319999999,141.72760769999999,120.57989240000001,803.01544249999995,420.76481009999998,162.38873910000001,218.02996300000001,837.66902030000006,1702.9592829999999,143.628647,195.734826,66.443715600000004,94.249354499999995,103.70513819999999,129.49293399999999,143.31343939999999,123.32367120000001,394.76941479999999,23.4960697,31.545493199999999,5.6878070999999997,142.69308950000001,29.4367546,168.7491713,82.926577699999996,12.762975000000001,41.785827300000001,65.767349300000006,39.222875000000002,937.19426680000004,1344.3781750000001,982.79742209999995,165.2068276,76.0379985,128.44301129999999,473.62528809999998,351.92202270000001,416.59387420000002,666.01367210000001,553.71109560000002,287.7988484,847.46206610000002,5.0308368000000003,44.939141200000002,71.777481899999998,169.4830302,0,52.305712200000002,91.3304361,36.459913100000001,327.56973720000002,84.842417299999994,94.789212000000006,1042.6720379999999,381.32857139999999,548.53059770000004,547.9975809,253.3206012,295.97177809999999,21.870169099999998,255.03516010000001,18.930112900000001,16.093365200000001,367.9643355,111.0976362,77.544041500000006,23.941741400000002,88.945467199999996,134.37563900000001,16.337809
,,August,2004.0680970000001,143.71577210000001,529.94138120000002,1266.8118910000001,525.83927489999996,491.26618780000001,112.3750828,123.66393859999999,193.85913500000001,301.81672120000002,319.65952820000001,118.2945903,158.00253760000001,314.97247859999999,1140.712043,139.9502349,161.45555680000001,25.646898,77.841607100000004,203.96931359999999,73.649385600000002,180.5909838,53.493978599999998,310.32966249999998,51.374974100000003,60.805481200000003,195.5698476,200.84714769999999,17.7009097,177.50465159999999,120.2091494,15.437745100000001,61.016968400000003,60.546680899999998,70.887866099999997,1758.7847959999999,1262.600649,901.52585280000005,446.10780590000002,122.7038811,369.3987573,215.28392220000001,155.8155352,959.60727159999999,965.94024509999997,418.36018749999999,320.37736719999998,380.93428019999999,49.252723600000003,4.2770032000000002,42.727270099999998,129.29463229999999,0,13.5543823,89.870560499999996,26.9826607,200.51916750000001,132.08992240000001,28.671997999999999,691.3819019,289.16448880000002,355.42493330000002,776.08195599999999,379.90700720000001,211.1908292,47.2508689,80.879178400000001,71.182949500000007,1.8176650999999999,462.75964740000001,84.553358000000003,151.78088640000001,20.435027000000002,31.592748199999999,131.11718400000001,57.959200199999998
,,September,1793.308904,226.8451972,477.8301088,1370.6811230000001,501.72666290000001,647.12072939999996,132.08483050000001,277.99725549999999,202.6625545,448.05392860000001,276.1858019,286.03539289999998,113.87263849999999,314.77439959999998,1142.081639,53.205610900000003,67.594532999999998,35.046739700000003,78.302629400000001,108.95745340000001,43.929175899999997,306.95261049999999,45.642318000000003,248.5465452,166.49024639999999,35.258680200000001,18.361616900000001,229.73505059999999,39.425576499999998,411.76528059999998,114.5799037,17.614175500000002,82.549094600000004,110.51476599999999,36.138080500000001,1330.3231960000001,1698.564083,976.80030790000001,808.37365750000004,367.04694050000001,322.79560279999998,444.92081930000001,330.8712476,474.87134739999999,1256.3238779999999,467.48741560000002,426.91994649999998,668.70161310000003,31.823076199999999,1.0923392999999999,41.265990899999998,103.8255375,17.39742,31.4766656,44.761017099999997,46.842122500000002,119.0471208,99.936473599999999,65.569149100000004,973.67255350000005,348.96071549999999,313.77000090000001,418.05534770000003,318.22855190000001,303.81581249999999,51.304212499999998,61.367751300000002,93.977088699999996,3.4015379000000001,379.87628760000001,49.768679300000002,124.951733,6.4479790000000001,25.711745499999999,78.743496100000002,18.477104700000002
,,October,2178.6593229999999,241.55574590000001,833.51194380000004,1664.784662,906.21823830000005,184.17268809999999,294.77074479999999,368.33299049999999,205.32241629999999,601.09651799999995,400.77328340000003,310.40649280000002,190.8901845,806.98727959999997,1355.3692820000001,128.28047520000001,113.31206570000001,90.876841400000004,183.44665040000001,204.13213279999999,178.01350059999999,174.81097750000001,64.265148800000006,282.89836209999999,71.146518499999999,12.742034200000001,45.356095500000002,170.24498360000001,10.857488500000001,386.94171440000002,95.975575300000003,39.718691800000002,92.004156300000005,139.13012900000001,25.091238499999999,1457.6954969999999,1345.418028,1242.124002,297.17979539999999,215.3203115,219.30445539999999,143.84413050000001,184.54939039999999,276.08832310000003,1151.0158309999999,378.93530620000001,251.92544280000001,745.87053349999996,35.341863199999999,15.9376338,121.39436069999999,151.24845719999999,10.834637000000001,131.3417331,96.2574714,21.8703039,233.79215170000001,231.27445929999999,66.054282499999999,895.37465380000003,413.62243489999997,630.27042340000003,379.55139000000003,303.6166758,133.77595769999999,52.254179999999998,235.4300906,184.39855789999999,31.408178599999999,160.41042770000001,49.135724500000002,63.918944199999999,19.634436300000001,113.8287349,213.8556567,22.6649499
