"Mbb1","Mbb2","MCh1","MCh2","VSAg","VSAng","VSEg","VSEng","PD:J-M(I","PD:A-J(I","PD:J-M(D","PD:A-J(D","FECa","FECt","Dffr","Dhge","GL(E","GL(O","BSNS","BSES","KEs1","KEs2","KEf1","KEf2","ERSF","ERGM","S:17t1","S:18t1","F:hi","F:ci","R2as","R2:t","Bll1","B2()","E:ff","E:vf"
-1.3856274,2.2576335,1.5750578,2.4177798,214.10438,304.95974,270.26766,279.84742,177,134,1012,961,-1.5596,-12.849,-5.9414955,18.486037,17402,7474,-0.1611,0.0382,-612,872,-504,305,0.14550746,1.4225,89.2,21.5,0.99959,0.95824,0.67236984,1.4177423,0.049,-0.06,-1.0193724,0.98423615
-1.1505314,1.9720811,1.8852676,2.105021,214.63959,305.64951,270.11816,287.77467,132,115,1014,886,-3.8596,1.1507,-5.9414955,18.486037,17401,7472,-0.1214,0.0838,-630,673,-592,561,0.14383315,1.412,88.3,33.8,0.9905,0.94676,0.71112875,1.4802038,0.063,-0.003,-1.0193724,-0.81075392
-0.89083903,1.697732,2.194304,1.7454672,213.01126,306.13525,269.59984,291.02076,137,127,1022,880,-7.5596,25.151,-5.9414955,18.486037,17400,7476,-0.1485,0.0767,-609,-49,-609,808,0.1431127,1.4075,100,11.5,0.99483,-1.0765,0.71200985,1.47706,0.058,0.033,-0.99155569,-0.78313869
-0.70679327,1.4925247,2.4032651,1.4878803,210.09966,307.06683,269.38984,292.86707,184,195,1449,913,-12.76,13.151,-5.9414955,18.486037,17400,7472,-0.1515,0.0883,-585,-486,-632,854,0.14385384,1.416,85.4,23.9,-1.0453,1.0005,0.67244814,1.5056755,0.072,0.09,1.0112465,1.1913504
-0.41688319,1.1122509,2.713181,1.0980478,209.43188,380.22938,269.0236,293.71532,237,198,1673,898,4.6404,-0.84929,-5.9414955,18.486037,17411,7476,-0.1314,0.0667,-590,-692,-636,556,0.14388489,1.4118,91.2,14.6,1.002,-1.0736,0.71593831,1.5104148,0.066,0.087,-0.97764735,1.1361199
-0.088436563,0.67601202,3.0049832,0.71926928,211.26812,462.42265,268.85308,293.93133,229,164,1594,892,42.94,23.151,-5.9414955,18.486037,17425,7492,-0.1153,0.0606,-626,-768,-609,-49,0.14265335,1.3975,65.7,2.4,1.0013,-1.0661,0.69976403,1.5225764,0.021,0.045,-0.97764735,-0.82456153
0.28423778,0.25604546,3.2662297,0.34356395,208.15797,522.35594,268.64812,293.6517,207,159,1451,910,78.94,37.151,-5.9414955,18.486037,17446,7518,-0.1101,0.002,-674,-814,-588,-420,0.14224751,1.406,63.3,12.7,0.9889,0.95581,0.70723673,1.5490687,-0.063,0.042,-0.97764735,-0.96263769
0.69559131,-0.16653972,3.5028462,-0.040394257,204.62785,527.91559,268.39223,293.43636,219,177,1083,930,97.64,39.151,-5.9414955,18.486037,17449,7536,-0.1154,-0.0015,-696,-812,-586,-628,0.14214641,1.411,70,9.9,1.0016,-1.0556,0.8423227,1.5342929,-0.167,0.06,1.0251549,-0.94883008
0.98122743,-0.4538623,3.6496277,-0.30326388,202.85241,528.97586,268.53349,293.3389,234,179,1068,959,63.44,53.151,-5.9414955,18.486037,17439,7528,-0.1015,-0.0309,-722,-768,-616,-720,0.14250089,1.4147,43.5,14.3,-1.058,0.99829,0.80606532,1.4710929,-0.072,0.058,-0.99155569,-0.93502246
1.4180014,-0.89069,3.8366372,-0.69796994,202.94226,525.27868,268.45261,292.53004,182,134,1005,1147,9.1404,47.151,-5.9414955,18.486037,17429,7516,-0.1202,-0.0462,-750,-733,-639,-781,0.14219694,1.423,56.4,30.6,0.97905,1.0026,0.92122655,1.5110641,-0.017,0.056,1.0390632,-0.94883008
1.8580095,-1.3445722,3.9813638,-1.0850008,203.8357,467.17336,270.23179,291.65762,155,115,990,1589,-23.96,71.151,-5.9414955,18.486037,17418,7501,-0.1094,-0.0558,-754,-755,-674,-814,0.14250089,1.4315,60.7,2.3,-1.0455,1.0175,0.89371023,1.506545,-0.06,0.073,1.0390632,-0.93502246
2.2346833,-1.8183211,4.1145543,-1.4665258,204.54175,406.89552,290.6871,290.8848,116,108,1059,1566,-31.66,47.151,-5.9414955,18.486037,17408,7487,-0.0813,-0.0525,-752,-786,-693,-820,0.14204545,1.4277,50.7,5.1,0.95351,1.0243,0.87519688,1.575741,-0.003,0.071,-0.99155569,1.0532742
2.4978239,-2.2764052,4.2655977,-1.8461649,208.16024,331.06111,292.89117,289.78049,119,106,1155,1488,-31.56,57.151,-5.9414955,18.486037,17403,7478,-0.0537,-0.0473,-742,-810,-719,-773,0.14321518,1.4385,59.8,15.2,0.96732,1.0171,0.90098572,1.5147978,0.033,0.049,1.0390632,-0.89359961
2.6470976,-2.5575222,4.382626,-2.099302,209.26235,283.22314,296.07442,289.07937,148,146,1722,1153,-29.76,61.151,-5.9414955,18.486037,17389,7467,-0.0398,0.0019,-744,-847,-728,-768,0.1435235,1.439,23.5,8.8,-1.0577,-1.0006,0.90469297,1.4953896,0.09,0.087,-1.005464,-0.94883008
2.9393562,-2.9570348,4.5568606,-2.4741703,210.46409,286.28115,298.14322,288.21179,156,144,1626,944,-27.56,29.151,-5.9414955,18.486037,17372,7454,-0.054,0.0085,-732,-870,-760,-742,0.14398848,1.4265,28.5,14.3,-1.0711,1.0492,0.86838342,1.5917144,0.087,-0.215,-1.005464,1.0532742
3.3345092,-3.3225162,4.685419,-2.8409927,214.17229,289.67906,304.10837,287.75271,153,135,1595,947,-23.16,39.151,-5.9414955,18.486037,17355,7444,-0.0934,0.0167,-681,-896,-754,-755,0.14414414,1.425,44,9.9,0.95302,1.0306,1.1559092,1.4666692,0.045,0.043,1.0112465,0.99804377
3.7481865,-3.6291441,4.7687659,-3.1951975,221.5773,291.38778,346.99633,337.812,144,131,1309,957,-20.36,23.151,-5.9414955,18.486037,17357,7446,-0.0959,0.0264,-783,-908,-752,-778,0.1445609,1.4295,35,8.2,0.95663,-1.0233,0.72064751,1.2732548,0.042,0.062,1.0112465,0.98423615
4.092051,-3.8993708,4.8415675,-3.5166278,224.69854,291.82898,418.52726,454.26107,180,156,1053,920,-14.46,55.151,-5.9414955,18.486037,17381,7460,-0.095,0.0701,-840,-896,-753,-807,0.14414414,1.4277,71,8.7,-1.0611,-1.0122,0.20117832,0.93553616,0.06,0.04,-0.99155569,-0.96263769
4.2615444,-4.0719946,4.8940517,-3.7081732,236.55681,290.92146,462.02078,483.41246,183,154,1034,940,-10.76,15.151,-5.9414955,18.486037,17404,7464,-0.1359,0.0448,-830,-940,-768,-841,0.14404033,1.424,59.3,11.9,0.93702,-1.0138,-0.3312945,0.59470419,0.058,-0.022,1.0390632,-0.93502246
4.4842911,-4.3072563,4.9427334,-3.9679869,270.3857,289.19288,473.03727,485.1055,153,114,1064,1389,-12.46,-38.849,-5.9414955,18.486037,17409,7462,-0.123,0.0193,-799,-933,-745,-857,0.14414414,1.4183,39.6,21.6,0.94894,0.99076,-0.79388264,0.33804873,0.056,-0.123,-0.97764735,1.0808895
4.6770773,-4.4986517,4.9122863,-4.1981939,370.59929,287.6892,475.2246,485.62477,126,101,1029,1734,-11.76,-56.849,-6.0070883,18.486037,17413,7466,-0.1153,0.0606,-712,-944,-732,-870,0.14398848,1.411,78.4,14.2,-1.1117,-1.0442,-1.2022571,0.12122907,0.073,-0.084,1.0668799,-0.90740723
4.8010474,-4.6363543,4.8375063,-4.3996445,457.86829,289.2333,478.86082,486.44691,110,118,1004,1629,-10.46,-66.849,-3.2476935,18.486037,17413,7464,-0.1456,0.0423,1222,-937,-664,-896,0.14357502,1.4215,29.3,6,-1.1012,-1.0306,-1.4344837,-0.069336514,0.071,-0.026,-1.0193724,-0.89359961
4.8738994,-4.7404053,4.7478409,-4.5643722,476.81502,291.13062,478.23901,486.10979,124,179,1054,1513,-6.0596,-76.849,0.12409728,18.486037,17406,7459,-0.1348,0.072,-5544,-880,-726,-902,0.1435235,1.4165,46.6,16.9,0.90648,-1.0472,-1.5434559,-0.24004718,0.049,0.053,-1.005464,1.1499275
4.8890064,-4.8083478,4.6976272,-4.644462,476.19083,291.92827,477.38682,486.54932,168,209,1110,960,-7.2596,-36.849,0.0585045,18.486037,17396,7453,-0.1664,0.074,-2063,-956,-725,-913,0.1447178,1.4243,37.6,6.7,-1.0688,-1.0309,-1.6463457,-0.31986294,0.087,0.052,1.0807883,-1.0040605
4.860729,-4.8808869,4.664984,-4.7180998,474.47236,291.94468,475.6523,485.67017,178,189,1108,936,-7.4596,-96.849,0.0585045,18.486037,17391,7451,-0.1624,0.0668,-407,-1020,-804,-905,0.14508524,1.4315,44,2.2,0.92555,0.98573,-1.705486,-0.39485193,-0.215,0.011,1.0112465,1.0118514
4.7847247,-4.8720266,4.6429353,-4.7673983,468.60507,292.10466,466.4238,484.31686,148,193,1075,953,-2.9596,-72.849,0.0585045,18.486037,17393,7458,-0.1707,0.0667,-24,-969,-830,-940,0.14477018,1.4295,32,3.3,0.93026,0.99215,-1.9957057,-0.49928362,0.043,0.029,-1.005464,-0.86598438
4.646964,-4.8202695,4.5635798,-4.8224962,427.30407,292.89845,416.55664,481.63425,157,180,1073,933,-0.55961,-70.849,0.0585045,18.486037,17392,7461,-0.1615,0.0712,154,-998,-809,-930,0.14540167,1.4337,45.7,6.6,0.93455,0.99263,-1.326894,-0.53933182,0.062,0.028,1.0112465,0.98423615
4.4773378,-4.7745197,4.4403351,-4.8690732,332.62146,293.89366,351.53003,480.70878,206,185,1116,965,-1.4596,-56.849,0.0585045,18.486037,17388,7458,-0.1445,0.0301,401,-974,-777,-934,0.14593214,1.4378,36,0.1,0.93001,0.98951,-0.67150129,-0.39456517,0.04,0.047,-0.97764735,-0.89359961
4.3576866,-4.7419254,4.3603332,-4.8848836,254.10962,293.97792,306.61172,473.54102,182,151,1025,1117,-0.35961,-70.849,0.0585045,18.486037,17397,7470,-0.1527,-0.0093,716,428,-8,-944,0.14545455,1.434,31.7,5.9,-1.0759,0.99559,-0.24713783,-0.35744744,-0.022,0.026,1.0251549,1.1637352
4.1483171,-4.6893376,4.2662463,-4.8915754,233.44051,294.18372,296.0226,442.0936,141,110,1011,1519,2.7404,-28.849,0.0585045,18.486037,17415,7488,-0.1337,0.0206,1078,-2664,1098,-932,0.14540167,1.4305,39,0.1,0.92616,0.99567,0.16545286,-0.24588153,-0.123,0.025,-0.99155569,0.98423615
3.9161647,-4.6270957,4.1948094,-4.9017242,237.66104,294.294,296.20332,369.17639,121,105,1020,1625,5.1404,-40.849,0.0585045,18.486037,17426,7496,-0.1521,0.0199,1206,-4297,-5544,-880,0.14482259,1.43,28,0,-1.086,-1.0209,0.50995274,-0.13273027,-0.084,0.044,-1.005464,1.025659
3.6997579,-4.5648032,4.0940264,-4.9364275,229.2123,294.90632,295.68727,283.38156,114,97,998,1514,4.3404,-24.849,0.0585045,18.486037,17424,7492,-0.1403,0.0064,752,-981,-3089,-896,0.14477018,1.4293,25,5.3,-1.0961,-1.0296,0.64440922,-0.023628063,-0.026,0.022,1.0390632,-0.86598438
3.5014037,-4.5261786,3.8954085,-4.9753405,208.38727,294.8847,294.86806,279.79377,130,132,1033,1257,1.2404,-18.849,0.0585045,18.486037,17420,7484,-0.1025,0.0123,23,-378,-716,-932,0.14393667,1.4198,6.7,4.1,0.91917,-1.0534,0.80745084,0.24750226,0.053,0.06,-1.0610974,-1.0454834
3.3738104,-4.486564,3.7102092,-4.9737858,206.38663,295.8988,270.38804,287.74744,154,152,1027,993,11.64,-10.849,0.0585045,18.451383,17409,7471,-0.1147,-0.0199,-356,-168,-180,-1007,0.14357502,1.423,0,0.5,0.91179,0.97892,0.80042121,0.52044803,0.052,0.098,-0.99155569,-0.96263769
3.1834198,-4.3830743,3.4006725,-4.9057227,211.96578,316.95437,265.75231,288.49317,166,130,991,1001,18.44,-30.849,0.0585045,20.73586,17400,7456,-0.1095,-0.0475,-501,34,-23,-990,0.14404033,1.4255,1.7,0.6,0.91206,0.98104,0.82256757,0.74530317,0.011,0.036,1.0112465,-0.93502246
2.9938332,-4.2553076,3.0763871,-4.7950605,212.11578,410.63126,271.65896,289.60023,145,124,1004,970,-3.2596,-16.849,0.0585045,37.236864,17389,7446,-0.1018,-0.0455,-545,302,154,-998,0.14362657,1.423,13.7,0,-1.1229,-1.0174,1.0379679,0.88019925,0.029,0.014,1.0251549,-0.94883008
2.819661,-4.1321562,2.7390225,-4.6945284,213.16855,471.0056,272.09815,290.24181,156,135,1024,996,-5.7596,-16.849,0.0585045,38.486037,17385,7439,-0.0762,-0.0325,-564,618,342,-973,0.14336918,1.4275,20.7,6.2,-1.1057,-1.0233,0.65288178,0.78432192,0.028,0.032,1.0112465,-0.93502246
2.6669265,-3.9862509,2.3968204,-4.5977917,215.9753,541.39549,271.75107,291.1856,194,163,1013,987,2.5404,11.151,0.0585045,38.486037,17386,7438,-0.0751,-0.0053,-560,857,569,-608,0.14383315,1.4325,18.8,4.8,0.87623,-1.0281,0.10792897,0.44119205,0.047,0.01,-0.99155569,-0.94883008
2.5698395,-3.8756681,2.1725554,-4.5115215,222.24539,540.8961,271.42957,291.19482,175,134,1008,1328,-0.25961,-6.8493,0.0585045,38.486037,17378,7436,-0.0536,-0.0162,-548,728,858,914,0.14358533,1.43,12.3,7.5,-1.1362,-1.0132,-0.41473874,0.074749111,0.026,-0.112,1.0112465,-0.93502246
2.4299595,-3.6984611,1.854936,-4.3290066,223.0554,541.00883,271.6722,291.1576,132,104,1011,1684,2.8404,-18.849,0.0585045,38.486037,17366,7434,-0.0591,-0.0032,-545,33,1132,-4822,0.14375045,1.4303,24.1,6.1,-1.125,1.0064,-0.95947694,-0.26483608,0.025,-0.134,-0.97764735,1.0532742
2.3166354,-3.5399881,1.5585731,-4.1124125,226.22222,540.10343,271.94298,290.86865,115,115,1028,1605,-1.7596,-38.849,0.0585045,38.486037,17375,7447,-0.1217,-0.0011,-557,-452,1206,-4297,0.14398848,1.4305,13.2,12.3,-1.1409,-0.99859,-1.2029893,-0.55953518,0.044,-0.136,-0.97764735,-0.86598438
2.2326211,-3.401448,1.2501175,-3.9239874,229.16163,493.07847,288.12872,291.02753,140,212,1287,1517,0.94039,-24.849,0.0585045,38.486037,17405,7476,-0.081,0.0717,-610,-669,910,-1430,0.14419611,1.4325,4.2,13.1,0.88936,1.0053,-1.3768884,-0.79380832,0.022,-0.058,-0.99155569,-1.0040605
2.1548113,-3.2535301,0.90258419,-3.7818296,240.94779,409.70412,288.80435,290.88268,247,242,1767,1080,-3.7596,-24.849,0.0585045,38.486037,17417,7492,-0.1497,0.0184,-660,-760,255,-484,0.14529604,1.442,11.2,24,-1.1143,-0.99675,-1.5187331,-1.0090934,0.06,0,1.0251549,-0.97644531
2.0990932,-3.1696368,0.65401255,-3.6870842,244.81704,297.33857,289.83333,290.90674,252,207,1838,892,-4.9596,-10.849,0.0585045,38.486037,17420,7496,-0.1257,0.0765,-704,-781,-180,-276,0.14566642,1.453,6.8,27.2,0.89135,0.99384,-1.6210955,-1.173757,0.098,0.018,1.0390632,-0.99025293
2.0170351,-3.0909791,0.2738383,-3.4965105,242.66705,282.439,297.32042,290.78093,226,216,1743,935,-5.0596,-22.849,0.0585045,38.486037,17416,7502,-0.1133,0.0922,-700,-796,-406,-136,0.1456134,1.457,0,19.5,-1.1059,0.9961,-1.6765927,-1.2935134,0.036,0.017,1.0668799,1.0946971
1.944728,-3.0525861,-0.097368353,-3.2504899,207.83864,287.74646,312.05972,290.73952,243,190,1393,936,-4.8596,-18.849,0.0585045,38.486037,17408,7490,-0.0873,0.1114,-692,-768,-501,34,0.1456134,1.457,0,23.5,0.89775,1.0003,-1.8433439,-1.3368612,0.014,0.036,-1.0193724,-0.83836915
1.8616184,-3.0486036,-0.44481881,-2.9962223,199.41681,295.01249,377.04286,298.65901,265,189,1151,893,-3.1596,-14.849,0.0585045,38.486037,17402,7475,-0.1311,0.0813,-710,-742,-532,240,0.1456134,1.457,8.6,34.1,0.88516,-0.99847,-1.7217822,-1.2183901,0.032,0.034,1.0668799,-0.86598438
1.7402693,-3.0391228,-0.7842553,-2.759822,218.73106,298.48871,439.65755,385.6327,216,173,1127,976,-3.3596,-10.849,0.0585045,38.486037,17388,7461,-0.1618,0.0959,-700,-736,-573,496,0.14696157,1.469,17.8,48.1,-1.1327,-1.0082,-1.5782445,-0.98885501,0.01,0.033,-0.97764735,-0.93502246
1.6374218,-2.9902014,-1.0172462,-2.6132937,230.9254,292.97101,469.48973,465.91758,186,134,1095,1301,-4.8596,-14.849,0.0585045,38.486037,17374,7447,-0.1519,0.113,-718,-777,-564,752,0.14678899,1.4685,23.7,66,-1.1153,-0.99484,-1.4731588,-0.84418505,-0.112,0.032,1.0251549,1.1361199
1.4609532,-2.7924812,-1.3663091,-2.3992031,244.32434,292.5431,472.0365,478.52907,137,120,1061,1388,-3.4596,19.151,0.0585045,38.486037,17364,7432,-0.1416,0.0743,-736,-836,-564,880,0.14803849,1.4825,20,30.7,-1.135,-0.99671,-1.3735514,-0.66739687,-0.134,0.031,-1.005464,1.1223123
1.2644836,-2.4932549,-1.7034929,-2.1677951,269.14097,291.88751,472.99304,477.85972,137,139,1131,1622,-2.1596,27.151,0.0585045,38.486037,17366,7430,-0.1117,0.0864,-720,-878,-548,728,0.14803849,1.4825,12.5,29.6,0.88461,-1.0045,-1.3018486,-0.53649774,-0.136,0.03,1.0390632,-0.7969463
1.0352781,-2.1328835,-2.0329068,-1.9103247,357.42382,290.77459,470.27511,479.76712,196,229,1839,1303,-3.7596,35.151,0.0585045,38.486037,17356,7427,-0.1274,0.0595,-676,-905,-548,174,0.14853323,1.4905,7.1,36.4,-1.1095,1.0506,-1.2399624,-0.4106805,-0.058,0.009,-0.99155569,1.1361199
0.80255348,-1.7526097,-2.3425171,-1.6233894,462.63581,288.70917,470.3532,479.52268,264,226,1856,932,-0.45961,33.151,0.0585045,38.486037,17364,7436,-0.126,0.0619,-744,-908,-560,-292,0.14765596,1.4732,9.4,51.5,0.91903,1.0474,-1.1703611,-0.27682044,0,0.008,1.0112465,0.98423615
0.66192104,-1.5214965,-2.5331539,-1.4102929,516.59653,287.53927,471.26201,480.07821,247,204,1745,983,-3.5596,49.151,0.0585045,38.486037,17378,7454,-0.1209,0.0115,-801,-914,-584,-554,0.14813718,1.476,12.5,51.6,-1.0913,-0.97037,-1.1721669,-0.21135434,0.018,-0.013,-0.99155569,-0.85217677
0.43274329,-1.1916687,-2.8132266,-1.058317,513.05831,287.76652,470.23229,480.51917,221,207,1637,974,-2.3596,17.151,0.0585045,38.486037,17389,7462,-0.1483,-0.0102,-789,-914,-616,-688,0.14760148,1.4715,3.6,60.5,-1.1193,-0.96766,-1.1236427,-0.11901377,0.017,-0.054,-0.99155569,1.025659
0.17620248,-0.8368038,-3.1058529,-0.6755244,518.61781,290.61556,464.82019,479.97629,234,199,1098,943,-4.5596,-8.8493,0.0585045,38.486037,17394,7472,-0.1412,-0.0372,-775,-933,-660,-760,0.14765596,1.4737,6.4,76.9,0.89639,1.0619,-0.92279214,-0.049817846,0.036,-0.075,-1.0193724,-0.92121485
-0.09562403,-0.42135354,-3.4027526,-0.28332474,518.09733,292.4507,421.12734,478.65195,255,198,1024,955,-0.55961,-6.8493,0.0585045,38.486037,17393,7468,-0.0941,-0.0041,-620,-936,-693,-782,0.1480933,1.4775,11.8,58.4,0.92704,1.0694,-0.95821185,-0.043893383,0.034,-0.136,-1.005464,1.1085047
-0.41373167,0.040874863,-3.6770631,0.097246963,475.30914,292.39777,351.00662,478.23085,212,150,1015,918,-3.5596,-4.8493,0.0585045,38.486037,17385,7455,-0.0755,-0.0117,1302,-940,-708,-798,0.14925373,1.4905,17,64.4,0.91236,1.0775,-1.0856731,-0.17191378,0.033,-0.137,-0.99155569,1.0946971
-0.65596858,0.33931927,-3.8368245,0.3421188,452.50025,291.75,295.17604,473.30814,167,126,1007,876,-1.7596,-40.849,0.0585045,38.486037,17380,7444,-0.0956,-0.0687,-6309,-933,-719,-782,0.15031943,1.491,9.4,54.8,-1.0848,-0.94984,-1.2218993,-0.34631425,0.032,-0.098,-0.99155569,-0.90740723
-1.059955,0.77517492,-4.047088,0.70309624,454.43226,291.55518,282.17454,458.90983,129,127,1007,854,2.3404,-18.849,0.0585045,38.486037,17369,7432,-0.0722,-0.079,-1792,-848,-704,-760,0.15191796,1.5,21.2,45,-1.1145,1.09,-1.2284906,-0.43663197,0.031,-0.258,1.0112465,-0.89359961
-1.4972496,1.2105234,-4.2381252,1.0703605,382.60354,289.13886,282.12422,418.26833,130,152,1173,840,-0.85961,-52.849,0.0585045,38.486037,17362,7424,-0.0641,-0.11,-332,-940,-710,-742,0.15238095,1.505,26.2,69.5,-1.083,-0.96937,-1.2710111,-0.50274177,0.03,-0.059,1.0390632,1.205158
-1.9406853,1.6444146,-4.3963856,1.4394869,284.19044,286.21226,279.36091,331.93162,247,232,1851,875,-0.55961,-42.849,0.0585045,38.486037,17373,7428,-0.0335,-0.1081,-47,-1008,-700,-740,0.15140045,1.5165,30,66.8,0.90839,-0.97214,-1.3784958,-0.59933424,0.009,-0.02,1.0112465,1.0808895
-2.3694784,2.0834665,-4.5124599,1.8071488,235.89725,285.28214,267.74911,283.09223,248,216,1705,892,0.34039,-14.849,0.0585045,38.486037,17376,7434,-0.0131,-0.0758,156,-992,-720,-756,0.15390535,1.5345,12.8,64.1,0.94166,1.0578,-1.3844509,-0.68186091,0.008,0.02,1.0112465,-0.93502246
-2.6144482,2.3837455,-4.5793562,2.0529903,247.13457,285.51525,242.03752,282.47576,211,210,1693,850,-0.45961,-36.849,0.0585045,38.486037,17372,7440,-0.0165,-0.0706,408,-992,-729,-812,0.1525553,1.5192,25,45.2,-1.0804,-0.95093,-1.4082707,-0.72059185,-0.013,0.019,-1.0193724,1.0670818
-2.8762311,2.8261803,-4.6850903,2.416174,268.02186,304.23,246.83563,285.66735,220,193,1393,827,-1.7596,-28.849,0.0585045,38.486037,17368,7439,-0.0456,-0.0389,700,-975,-736,-838,0.15203345,1.5165,39.7,40.4,-1.0955,-0.95897,-1.4536018,-0.79921592,-0.054,-0.002,-1.0332807,-0.96263769
-3.0458386,3.2212989,-4.815207,2.7689054,283.9804,410.16559,251.40824,286.08896,258,175,1059,861,-1.0596,-22.849,0.0585045,38.486037,17384,7455,-0.0625,-0.0061,1044,456,-720,-878,0.1537279,1.534,32.5,57.7,0.91396,-0.96591,-1.4659337,-0.86655578,-0.075,0.018,-1.005464,-0.99025293
-3.2758383,3.5828903,-4.946376,3.1124558,301.60399,478.31246,252.85875,287.55337,231,181,1041,861,0.74039,-12.849,0.0585045,38.486037,17399,7476,-0.0734,0.0117,1116,-3072,-674,-900,0.15319801,1.524,64.7,59.2,0.93279,1.0634,-0.844632,-0.85904141,-0.136,0.057,-0.99155569,-0.93502246
-3.6207725,3.9096286,-5.0255308,3.4512852,313.37686,530.49128,252.87897,288.31776,172,135,1003,858,-0.25961,-30.849,0.0585045,38.486037,17404,7482,-0.0772,-0.0287,588,-4171,-741,-908,0.15331545,1.5275,37.6,41.8,0.95438,1.067,-0.37717177,-0.90108596,-0.137,0.057,-0.97764735,1.0670818
-3.8704345,4.0922083,-5.046073,3.6748371,316.92572,534.5419,253.55682,288.72737,142,116,984,864,-0.95961,-22.849,0.0585045,38.486037,17408,7479,-0.0815,0.0033,-52,-896,-748,-916,0.153787,1.5275,52,60.6,0.93005,1.0657,-0.011624332,-0.95144686,-0.098,0.037,-1.0193724,-0.93502246
-4.1997386,4.3265129,-5.0549871,3.9899676,307.49382,531.17813,255.25831,288.65005,124,126,1052,862,-1.0596,-6.8493,0.0585045,38.486037,17400,7475,-0.0859,0.0746,-360,-412,-776,-914,0.15546055,1.5365,72.3,42.8,-1.0622,-0.93159,0.31473071,-0.88384906,-0.258,-0.944,1.0251549,-0.89359961
